2134,32.7155,-117.16382,a553cafe,04-01-2018,04-01-2018,433
2134,32.7155,-117.16382,a553cafe,04-02-2018,04-02-2018,1701
5937,32.719864,-117.16318,a0fa8a2f,04-01-2018,04-01-2018,1490
5937,32.719864,-117.16318,a0fa8a2f,04-02-2018,04-02-2018,4447
8867,32.715775,-117.16315,9f61e092,04-01-2018,04-01-2018,3089
8867,32.715775,-117.16315,9f61e092,04-02-2018,04-02-2018,5778
3747,32.715683,-117.164505,befa93d0,04-01-2018,04-01-2018,944
3747,32.715683,-117.164505,befa93d0,04-02-2018,04-02-2018,2803
476,32.717987,-117.16113,9532e459,04-01-2018,04-01-2018,176
476,32.717987,-117.16113,9532e459,04-02-2018,04-02-2018,300
3675,32.715767,-117.164024,98724f14,04-01-2018,04-01-2018,1098
3675,32.715767,-117.164024,98724f14,04-02-2018,04-02-2018,2577
6999,32.715515,-117.16109,a303efd4,04-01-2018,04-01-2018,2958
6999,32.715515,-117.16109,a303efd4,04-02-2018,04-02-2018,4041
432,32.72007,-117.16292,9f45b190,04-01-2018,04-01-2018,131
432,32.72007,-117.16292,9f45b190,04-02-2018,04-02-2018,301
644,32.71984,-117.16297,a116b931,04-01-2018,04-01-2018,129
644,32.71984,-117.16297,a116b931,04-02-2018,04-02-2018,515
5226,32.71797,-117.162,a4b8c873,04-01-2018,04-01-2018,1765
5226,32.71797,-117.162,a4b8c873,04-02-2018,04-02-2018,3461
5133,32.71566,-117.163605,bc2be51d,04-01-2018,04-01-2018,1837
5133,32.71566,-117.163605,bc2be51d,04-02-2018,04-02-2018,3296
745,32.719925,-117.16182,9b32e646,04-01-2018,04-01-2018,115
745,32.719925,-117.16182,9b32e646,04-02-2018,04-02-2018,630
34,32.71599,-117.163,a390dade,04-01-2018,04-01-2018,15
34,32.71599,-117.163,a390dade,04-02-2018,04-02-2018,19
1491,32.719997,-117.16205,954f135b,04-01-2018,04-01-2018,592
1491,32.719997,-117.16205,954f135b,04-02-2018,04-02-2018,899
114,32.717926,-117.163864,9d74a9ef,04-01-2018,04-01-2018,43
114,32.717926,-117.163864,9d74a9ef,04-02-2018,04-02-2018,71
