X,Y,id
32.719826,-117.162506,3df821ecba132c81147323880c5332b4
32.719944,-117.16249,9b1d4cce05ea13597e759c5b0900d518
32.71982,-117.16337,257a232d15aebdc49b7ab7d734cce398
32.71517,-117.161026,fbc0c37b8307f1c2d4412354d5e0c5ca
32.7204,-117.16289,2159f2ef3155f0e114fc106d08d39115
32.71936,-117.16301,0d560f576db9ab8768b7bdc8cd6bdb47
32.71809,-117.16196,43a44fdf9ec2631c12d529b5d9486051
32.718117,-117.162094,07c91510cc45f849766b1d3bbab46e90
32.719826,-117.16158,06c474fb976e2f394b69309d41d19f7f
32.719948,-117.16159,18846153640866397ed2b45207cb3226
32.71936,-117.161964,2c4fd0ff8c6b12a9cb6724e3ff3a6a27
32.71936,-117.1621,7c13ea37a8d95f1f7036ff9e3b9e26f2
32.719353,-117.16288,4e083cc62dcfb7cf82a068836d02b504
32.720406,-117.16197,8c99c24cb992add20bb550da8c49f8e1
32.718136,-117.16119,41749e3de6daab9b725adecedc29dfb7
