96,32.717888,-117.16203,a4b6c5ec,02/08/2018 07 PM,0,
96,32.717888,-117.16203,a4b6c5ec,02/08/2018 08 PM,0,
96,32.717888,-117.16203,a4b6c5ec,02/08/2018 09 PM,0,
96,32.717888,-117.16203,a4b6c5ec,02/08/2018 10 PM,0,
96,32.717888,-117.16203,a4b6c5ec,02/08/2018 11 PM,1,
96,32.717888,-117.16203,a4b6c5ec,02/08/2018 12 PM,5,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 01 AM,0,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 01 PM,7,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 02 AM,0,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 02 PM,1,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 03 AM,1,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 03 PM,1,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 04 AM,0,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 05 AM,0,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 06 AM,5,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 07 AM,6,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 08 AM,10,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 09 AM,3,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 10 AM,4,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 11 AM,5,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 12 AM,0,
96,32.717888,-117.16203,a4b6c5ec,02/09/2018 12 PM,11,
98,32.715717,-117.16372,bc29e296,02/08/2018 01 PM,5,
98,32.715717,-117.16372,bc29e296,02/08/2018 02 PM,3,
98,32.715717,-117.16372,bc29e296,02/08/2018 03 PM,5,
98,32.715717,-117.16372,bc29e296,02/08/2018 04 PM,3,
98,32.715717,-117.16372,bc29e296,02/08/2018 05 PM,2,
98,32.715717,-117.16372,bc29e296,02/08/2018 06 PM,1,
98,32.715717,-117.16372,bc29e296,02/08/2018 07 PM,3,
98,32.715717,-117.16372,bc29e296,02/08/2018 08 PM,0,
98,32.715717,-117.16372,bc29e296,02/08/2018 09 PM,1,
98,32.715717,-117.16372,bc29e296,02/08/2018 10 PM,0,
98,32.715717,-117.16372,bc29e296,02/08/2018 11 PM,0,
98,32.715717,-117.16372,bc29e296,02/08/2018 12 PM,10,
98,32.715717,-117.16372,bc29e296,02/09/2018 01 AM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 01 PM,2,
98,32.715717,-117.16372,bc29e296,02/09/2018 02 AM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 02 PM,2,
98,32.715717,-117.16372,bc29e296,02/09/2018 03 AM,0,
98,32.715717,-117.16372,bc29e296,02/09/2018 03 PM,2,
